TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Name
2023-11-24 14:49:35.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-D0F8,쇼핑
2023-11-24 14:49:35.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,
2023-11-24 14:49:35.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,
2023-11-24 14:49:35.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,
2023-11-24 14:49:35.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,
2023-11-24 14:49:36.660,0,0.7355025734563025,1.104539926090129,0,0,0.5091058728296597,0.8032441080874776,0,0,0.6821764987423099,0.695697355155216,0,0,-0.003850856388529437,0.4926546506256986,0,0,-0.2412946293197947,0.1173940498600144,0,160.7692307692308,805.8608058608058,808.2783882783883,153.9194139194139,1122.564102564103,0.296387,0.192627,0.935242,2.459869,-6.445007,-2.811279,1,4,1,1,4,100.000000,
2023-11-24 14:49:36.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,
2023-11-24 14:49:37.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,
2023-11-24 14:49:37.662,0,0.5165387881826544,1.204450758386015,0,0,0.3553652981418761,0.9398947981132026,0,0,0.5242259401275359,1.112885598012071,0,0,0.07680388937142957,0.5140150391854914,0,0,-0.3449600986248982,0.03983313875894491,0,1470.695970695971,801.4285714285714,795.3846153846154,1398.974358974359,743.0036630036631,0.314758,0.183411,0.929260,2.310333,-4.867401,-2.011261,1,4,1,1,4,100.000000,
2023-11-24 14:49:38.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,
2023-11-24 14:49:38.651,0,0.6487268312601101,0.7282157384362942,0,0,0.3632188195217501,0.4622156691820771,0,0,0.2751148296511521,0.7445070366283252,0,0,0.0356158619487791,0.4328544015921428,0,0,-0.1957343310537216,0.01750058271242881,0,24.98168498168498,796.996336996337,808.6813186813187,1585.531135531136,876.3736263736264,0.307251,0.186890,0.936340,2.385101,-4.194489,-1.629944,1,4,1,1,4,100.000000,
